"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 09-Dec-2019","30 D % CHNG 
 06-Nov-2020"
"NIFTY 50","13,764.40","13,772.85","13,658.60","13,740.70","13,760.55","19.85","0.14",519393189,"348,030,534,306.83","13,773.25","7,511.10","12.43","6.73"
"DRREDDY","5,080.00","5,262.85","5,078.15","5,072.85","5,243.00","170.15","3.35",3705133,"19,256,094,919.62","5,512.65","2,495.05","76.54","6.03"
"BAJAJ-AUTO","3,275.90","3,363.00","3,270.90","3,270.45","3,352.20","81.75","2.50",1362381,"4,536,606,115.71","3,384.75","1,788.65","1.77","7.40"
"INFY","1,182.85","1,195.00","1,175.60","1,159.20","1,186.00","26.80","2.31",15995676,"19,002,063,304.20","1,195.00","509.25","58.26","3.16"
"WIPRO","358.95","365.80","357.50","356.90","363.00","6.10","1.71",17398081,"6,314,285,537.33","381.70","159.40","43.74","2.35"
"CIPLA","784.25","796.00","781.50","783.20","795.15","11.95","1.53",6487014,"5,128,957,619.10","829.05","355.30","67.42","5.47"
"HINDALCO","246.70","251.40","245.20","245.85","249.30","3.45","1.40",18866376,"4,691,690,383.68","255.95","84.90","15.07","15.13"
"SBIN","267.70","271.95","265.00","267.70","271.35","3.65","1.36",29816205,"7,999,687,801.50","339.85","149.45","-18.12","11.45"
"TITAN","1,502.00","1,525.00","1,497.10","1,501.95","1,522.00","20.05","1.33",3299825,"5,005,306,553.00","1,525.00","720.90","29.58","15.36"
"HCLTECH","894.75","905.00","886.65","879.35","890.35","11.00","1.25",11568187,"10,380,712,604.45","910.70","375.25","55.72","7.90"
"UPL","456.00","462.00","454.00","455.40","460.60","5.20","1.14",5402464,"2,482,432,208.00","614.90","240.15","-19.58","5.99"
"ICICIBANK","514.00","518.25","509.15","510.40","515.95","5.55","1.09",21735833,"11,165,262,695.44","552.20","268.30","-5.73","4.93"
"GAIL","124.50","125.50","121.20","123.90","125.20","1.30","1.05",24075533,"2,980,069,474.74","133.35","65.00","5.58","32.44"
"HEROMOTOCO","3,101.00","3,144.00","3,101.00","3,112.65","3,139.35","26.70","0.86",1109264,"3,470,432,257.76","3,394.90","1,475.00","34.63","2.68"
"ASIANPAINT","2,577.00","2,636.00","2,575.55","2,575.05","2,596.95","21.90","0.85",4402604,"11,456,632,232.96","2,636.00","1,431.20","44.79","17.71"
"ITC","213.10","215.95","209.75","213.05","214.75","1.70","0.80",23775053,"5,046,730,500.31","247.90","134.60","-13.09","13.72"
"SBILIFE","859.00","864.00","852.80","856.35","863.00","6.65","0.78",1469894,"1,258,978,909.94","1,020.00","519.40","-11.24","-0.79"
"HINDUNILVR","2,322.00","2,343.90","2,312.00","2,315.30","2,332.00","16.70","0.72",2229891,"5,192,814,068.43","2,614.30","1,757.30","20.05","6.32"
"RELIANCE","1,980.10","2,004.90","1,965.00","1,985.60","1,998.10","12.50","0.63",8522215,"16,887,365,577.55","2,369.35","866.98","26.00","-0.38"
"EICHERMOT","2,459.00","2,490.00","2,425.20","2,466.60","2,481.25","14.65","0.59",849960,"2,090,451,121.20","2,727.00","1,245.01","-88.65","-2.95"
"SHREECEM","24,500.00","24,732.05","24,301.80","24,510.40","24,648.95","138.55","0.57",106488,"2,615,274,997.92","25,655.50","15,410.00","20.51","2.17"
"AXISBANK","604.40","611.00","596.50","605.40","608.60","3.20","0.53",17301814,"10,459,292,599.28","765.85","286.00","-18.39","-3.72"
"TCS","2,868.00","2,898.00","2,846.20","2,838.20","2,851.95","13.75","0.48",6076692,"17,462,832,868.08","2,898.00","1,506.05","30.93","6.46"
"M&M","726.10","737.95","722.55","730.65","734.00","3.35","0.46",6671658,"4,888,190,383.44","764.45","245.40","39.80","14.66"
"SUNPHARMA","574.00","576.90","568.00","571.35","573.80","2.45","0.43",4940687,"2,831,902,974.66","591.50","312.00","29.93","10.21"
"TECHM","935.00","947.00","928.30","930.10","932.00","1.90","0.20",5563979,"5,205,547,472.82","950.85","471.40","18.24","10.04"
"POWERGRID","193.30","194.80","192.05","193.30","193.50","0.20","0.10",11424589,"2,212,143,168.07","211.00","122.15","3.26","3.48"
"HDFCLIFE","656.30","656.30","640.00","654.55","655.20","0.65","0.10",2540821,"1,653,820,388.90","688.50","340.00","8.82","-2.31"
"DIVISLAB","3,837.30","3,859.00","3,782.00","3,824.70","3,820.00","-4.70","-0.12",1336810,"5,113,151,200.90","3,859.00","1,626.00","108.11","11.60"
"NESTLEIND","18,395.00","18,599.00","18,158.00","18,305.35","18,238.30","-67.05","-0.37",249790,"4,602,563,096.70","18,734.95","12,200.00","28.99","7.79"
"LT","1,283.95","1,301.00","1,270.00","1,278.80","1,273.00","-5.80","-0.45",10315248,"13,255,712,594.88","1,383.70","661.00","-3.07","18.31"
"GRASIM","912.00","916.75","902.00","912.70","908.45","-4.25","-0.47",2216049,"2,011,773,603.18","954.00","385.05","21.02","8.28"
"BPCL","398.00","399.00","389.25","395.40","393.50","-1.90","-0.48",6573883,"2,588,729,386.57","510.00","252.00","-19.18","0.19"
"ULTRACEMCO","5,140.00","5,214.00","5,115.00","5,171.80","5,136.35","-35.45","-0.69",549221,"2,833,205,958.39","5,259.00","2,910.00","27.22","5.35"
"TATAMOTORS","180.90","181.50","176.65","181.70","180.40","-1.30","-0.72",46065197,"8,272,848,729.23","201.70","63.50","3.95","15.00"
